file_name,graph_label,total_nodes,total_edges,n_subject,n_fileobject,n_netflow,"E_('subject', 'events', 'fileobject')","E_('subject', 'events', 'netflow')","E_('subject', 'events', 'subject')","E_('fileobject', 'events', 'subject')","E_('netflow', 'events', 'subject')",window_id,start_ns,end_ns
ben__benign_000000.pt,0,15813,11677,5487,10235,91,6846,131,2835,1835,30,benign_000000,1557234525144546600,1557234705144546600
ben__benign_000001.pt,0,16514,13060,5650,10758,106,7825,163,3003,2060,9,benign_000001,1557235245144546604,1557235425144546604
ben__benign_000002.pt,0,9750,11148,1919,7679,152,7006,244,2294,1591,13,benign_000002,1557236145144546609,1557236325144546609
ben__benign_000003.pt,0,9526,11161,2045,7343,138,6892,200,2490,1563,16,benign_000003,1557237045144546614,1557237225144546614
ben__benign_000006.pt,0,18924,26181,3616,15043,265,18089,443,4738,2880,31,benign_000006,1557239745144546629,1557239925144546629
ben__benign_000007.pt,0,16222,20589,2784,13248,190,14668,300,3570,2042,9,benign_000007,1557240645144546634,1557240825144546634
ben__benign_000008.pt,0,15010,18706,2893,11315,802,12744,1093,3475,1355,39,benign_000008,1557241545144546639,1557241725144546639
ben__benign_000009.pt,0,29904,27484,3992,25518,394,19530,488,4461,2976,29,benign_000009,1557242445144546644,1557242625144546644
ben__benign_000010.pt,0,18236,25936,4888,13030,318,15431,467,6252,3713,73,benign_000010,1557243345144546649,1557243525144546649
ben__benign_000011.pt,0,21024,26904,3588,17035,401,19321,590,4602,2335,56,benign_000011,1557244245144546654,1557244425144546654
ben__benign_000012.pt,0,10757,14425,2775,7611,371,8583,480,3706,1619,37,benign_000012,1557245145144546659,1557245325144546659
ben__benign_000013.pt,0,28912,25708,4549,24030,333,18641,448,5185,1392,42,benign_000013,1557246045144546664,1557246225144546664
ben__benign_000014.pt,0,16643,24508,2365,14061,217,19416,365,3422,1291,14,benign_000014,1557246945144546669,1557247125144546669
ben__benign_000015.pt,0,9429,11602,1970,7269,190,7817,310,2338,1114,23,benign_000015,1557247845144546674,1557248025144546674
ben__benign_000016.pt,0,17934,26020,3086,14443,405,18484,639,4286,2428,183,benign_000016,1557248745144546679,1557248925144546679
ben__benign_000017.pt,0,23716,23128,3099,20418,199,16587,270,3496,2770,5,benign_000017,1557249645144546684,1557249825144546684
ben__benign_000018.pt,0,5599,6937,1286,4211,102,4883,145,1368,528,13,benign_000018,1557250545144546689,1557250725144546689
ben__benign_000020.pt,0,13156,18322,3191,9686,279,12212,426,4066,1597,21,benign_000020,1557252345144546699,1557252525144546699
ben__benign_000022.pt,0,11086,14960,2618,8181,287,9404,398,3145,1864,149,benign_000022,1557254145144546709,1557254325144546709
ben__benign_000023.pt,0,17945,25027,4225,13366,354,14698,506,5882,3909,32,benign_000023,1557255045144546714,1557255225144546714
ben__benign_000024.pt,0,14816,20160,2811,11722,283,13771,443,4039,1860,47,benign_000024,1557255945144546719,1557256125144546719
ben__benign_000025.pt,0,22943,25539,3397,19182,364,18184,468,4048,2810,29,benign_000025,1557256845144546724,1557257025144546724
ben__benign_000026.pt,0,23615,35473,7735,15319,561,18949,871,11889,3630,134,benign_000026,1557257745144546729,1557257925144546729
ben__benign_000027.pt,0,23742,34998,4116,19186,440,23730,809,6369,4006,84,benign_000027,1557258645144546734,1557258825144546734
ben__benign_000028.pt,0,18163,25348,3286,14527,350,17228,603,4504,2950,63,benign_000028,1557259545144546739,1557259725144546739
ben__benign_000029.pt,0,27055,28571,3498,23095,462,22244,646,4164,1491,26,benign_000029,1557260445144546744,1557260625144546744
ben__benign_000030.pt,0,14118,18557,3032,10530,556,12113,783,3695,1957,9,benign_000030,1557261345144546749,1557261525144546749
ben__benign_000031.pt,0,18288,27593,3909,13984,395,19151,608,5340,2448,46,benign_000031,1557262065144546753,1557262245144546753
ben__benign_000032.pt,0,23063,39661,5480,17143,440,25471,752,8560,4819,59,benign_000032,1557262965144546758,1557263145144546758
ben__benign_000034.pt,0,21024,33900,4518,16237,269,24225,413,6913,2333,16,benign_000034,1557264765144546768,1557264945144546768
ben__benign_000035.pt,0,25522,43095,7040,18256,226,26702,351,10252,5761,29,benign_000035,1557265665144546773,1557265845144546773
ben__benign_000036.pt,0,15325,21330,3206,11200,919,14003,1320,4004,1997,6,benign_000036,1557266565144546778,1557266745144546778
