window_id,label,N_subject,N_fileobject,N_netflow,N_total,E_total,path,skipped,reason
e5-2019-05-09-marple1-drakon-1357-part-1,1,4455,22879,240,27574,49318,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\mal__e5-2019-05-09-marple1-drakon-1357-part-1.pt,False,
benign_000808,0,12017,12824,436,25277,49255,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000808.pt,False,
benign_000720,0,5610,17392,1168,24170,49196,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000720.pt,False,
benign_000794,0,4500,24543,275,29318,48798,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000794.pt,False,
benign_000724,0,10844,13988,193,25025,48785,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000724.pt,False,
benign_000112,0,9328,15929,402,25659,48005,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000112.pt,False,
benign_000602,0,7214,18395,441,26050,47843,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000602.pt,False,
benign_000192,0,9518,16873,683,27074,47536,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000192.pt,False,
benign_000601,0,7887,20399,1058,29344,47002,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000601.pt,False,
benign_000687,0,5708,15711,385,21804,46816,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000687.pt,False,
benign_000905,0,8860,10199,126,19185,46756,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000905.pt,False,
benign_000812,0,3540,17366,326,21232,46710,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000812.pt,False,
benign_000906,0,8097,14644,386,23127,46646,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000906.pt,False,
benign_000604,0,7137,15045,727,22909,46614,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000604.pt,False,
benign_000679,0,9091,14518,233,23842,46212,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000679.pt,False,
benign_000312,0,5294,20556,909,26759,46144,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000312.pt,False,
benign_000749,0,9490,17214,158,26862,45580,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000749.pt,False,
benign_000199,0,5301,19208,670,25179,45444,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000199.pt,False,
benign_000210,0,5527,20361,1182,27070,45243,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000210.pt,False,
benign_000674,0,6628,15317,161,22106,45195,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000674.pt,False,
benign_000326,0,5640,18350,315,24305,45148,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000326.pt,False,
benign_000201,0,8370,14703,443,23516,44837,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000201.pt,False,
benign_000795,0,4194,19324,174,23692,44607,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000795.pt,False,
benign_000878,0,8488,10086,247,18821,44593,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000878.pt,False,
benign_000672,0,7320,16408,879,24607,44573,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000672.pt,False,
benign_000221,0,7891,17834,372,26097,44244,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000221.pt,False,
benign_000236,0,5565,18733,209,24507,44119,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000236.pt,False,
benign_000778,0,10904,14397,265,25566,44071,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000778.pt,False,
benign_000698,0,4119,17811,195,22125,43479,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000698.pt,False,
benign_000035,0,7040,18256,226,25522,43095,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000035.pt,False,
benign_000202,0,6805,18797,544,26146,42894,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000202.pt,False,
benign_000238,0,5727,21869,328,27924,42720,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000238.pt,False,
benign_000642,0,4032,22363,174,26569,42500,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000642.pt,False,
benign_000683,0,2862,19477,255,22594,42436,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000683.pt,False,
benign_000606,0,7016,14216,446,21678,42406,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000606.pt,False,
benign_000909,0,7907,11896,132,19935,42231,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000909.pt,False,
benign_000419,0,4718,23562,156,28436,42020,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000419.pt,False,
benign_000494,0,8152,11779,219,20150,41995,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000494.pt,False,
benign_000689,0,3624,17487,1317,22428,41358,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000689.pt,False,
benign_000593,0,5500,18978,688,25166,41321,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000593.pt,False,
benign_000292,0,8474,14517,174,23165,41062,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000292.pt,False,
benign_000426,0,5300,21826,191,27317,41054,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000426.pt,False,
benign_000196,0,4731,17912,300,22943,40616,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000196.pt,False,
benign_000502,0,5372,13900,438,19710,40415,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000502.pt,False,
benign_000911,0,9515,9694,135,19344,40414,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000911.pt,False,
benign_000095,0,2556,16183,1868,20607,40337,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000095.pt,False,
benign_000240,0,4180,18004,496,22680,40123,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000240.pt,False,
benign_000113,0,6535,16632,241,23408,40119,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000113.pt,False,
benign_000032,0,5480,17143,440,23063,39661,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000032.pt,False,
benign_000650,0,7485,20221,235,27941,39555,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000650.pt,False,
benign_000370,0,8325,10194,100,18619,39247,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000370.pt,False,
benign_000605,0,9840,11675,266,21781,39166,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000605.pt,False,
benign_000190,0,5482,23617,212,29311,39146,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000190.pt,False,
benign_000617,0,4821,19618,230,24669,38794,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000617.pt,False,
benign_000726,0,1809,21613,103,23525,38767,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000726.pt,False,
benign_000044,0,7089,16639,274,24002,38694,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000044.pt,False,
benign_000716,0,4800,17180,287,22267,38621,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000716.pt,False,
benign_000620,0,3566,19408,234,23208,38495,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000620.pt,False,
benign_000594,0,5734,18018,265,24017,38093,C:\Users\Ali\Desktop\ChatGPT Scripts\Graphs_Out\ben__benign_000594.pt,False,
